platform_code,time,latitude,longitude,observation_depth,ztmp,zsal
,UTC,degrees_north,degrees_east,,Deg C,
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,152.9,1.57,33.21
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,154.9,1.59,33.21
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,156.9,1.64,33.22
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,158.8,1.67,33.23
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,160.8,1.71,33.23
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,162.8,1.72,33.24
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,164.8,1.74,33.24
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,166.8,1.75,33.24
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,168.7,1.76,33.24
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,170.7,1.77,33.25
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,172.7,1.8,33.25
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,174.7,1.82,33.26
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,176.7,1.83,33.26
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,178.6,1.83,33.26
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,180.6,1.85,33.27
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,182.6,1.89,33.28
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,184.6,1.91,33.28
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,186.6,1.93,33.29
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,188.6,1.96,33.3
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,190.5,2.01,33.3
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,192.5,2.06,33.32
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,194.5,2.07,33.32
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,196.5,2.09,33.32
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,198.5,2.1,33.33
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,200.4,2.14,33.34
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,202.4,2.2,33.35
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,204.4,2.23,33.36
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,206.4,2.3,33.37
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,208.4,2.32,33.37
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,210.3,2.32,33.37
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,212.3,2.32,33.38
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,214.3,2.33,33.38
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,216.3,2.34,33.38
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,218.3,2.35,33.38
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,220.2,2.36,33.39
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,222.2,2.4,33.4
